category,subcategory,code,title,description,badges,file,updated
Planning Preparation,Concept Note Template,SRK-CN-01,Concept Note Template,"Use before an activity to lay out the background, objectives, target participants, methodology, and expected outcomes.",Background & rationale|Target participants|Budget summary,fivdb-concept-note.html,2026
Planning Preparation,Event Schedule Template,SRK-AGD-01,Event Schedule Template,"Use before a multi-day training or workshop to plan sessions, timing, and facilitators day by day.",Day-by-day grid|Facilitator picker|Time slots,event-agenda.html,2026
Reporting Template & Evidence Generation,Event Reporting Template,SRK-RPT-01,Event Reporting Template,"Use after any training, distribution, or field activity to record background, attendance, target vs. achievement, and sign-off.",Attendance table|Photo annex|Signatures,surakkha-event-report.html,2026
Reporting Template & Evidence Generation,Attendance Sheet Template,SRK-ATT-01,Attendance Sheet Template,"Annex to the Event Reporting Template — record who attended, sex, role, organization, and photo consent for a standard field activity.",Photo consent|Sex-disaggregated|A4 landscape,fivdb-attendance-sheet.html,2026
Reporting Template & Evidence Generation,Attendance Sheet Template,SRK-ATT-02,Attendance Sheet — Camp,"Same as the standard attendance sheet, adapted for camp settings — records Progress ID instead of organization.",Photo consent|Progress ID|A4 landscape,fivdb-attendance-sheet-camp.html,2026
Reporting Template & Evidence Generation,Master Roll Template,SRK-MRL-01,Master Roll Template — Camp,"Use for material distributions at camp level — list the item(s) and quantity distributed, then record each participant's receipt.",Item & quantity log|Camp/Block/Sub-block|Signature or thumbprint,fivdb-distribution-master-roll.html,2026
Reporting Template & Evidence Generation,Master Roll Template,SRK-MRL-02,Master Roll Template — Common,"Same as the Camp version, for distributions outside camp settings — records Designation and Organization instead.",Item & quantity log|Designation & organization|Signature,fivdb-distribution-master-roll-common.html,2026
Reporting Template & Evidence Generation,Participant List Template,SRK-PTL-01,Participant List — Camp,"Register participants expected or enrolled for a camp-level activity before it takes place.",Pre-registration|Camp/Block/Sub-block|Progress ID,fivdb-participant-list-camp.html,2026
Reporting Template & Evidence Generation,Participant List Template,SRK-PTL-02,Participant List — Common,"Same as the Camp version, for activities outside camp settings — records Designation and Organization instead.",Pre-registration|Designation & organization,fivdb-participant-list.html,2026
Human Interest History,Case Story Template,SRK-CST-01,Case Story Template,"For documenting an individual beneficiary's experience in narrative form, with built-in guiding questions.",Guiding questions|Consent checkbox|A4,fivdb-case-story.html,2026
Human Interest History,Success Story Template,SRK-SST-01,Success Story Template,"For write-ups of notable project outcomes, with built-in guiding questions, for donor or public communication.",Guiding questions|Quote field|Consent checkbox,fivdb-success-story.html,2026
Human Interest History,Guidance,,Guidance,"How to gather, write, and get consent for a case story or success story.",,,
"Accountability","Complaint, Feedback and Response Mechanism (CFRM) Template",,"Complaint, Feedback and Response Mechanism (CFRM) Template","For logging and tracking complaints or feedback received from participants and communities.",,,
Accountability,Field Observation Reporting Template,,Field Observation Reporting Template,"For recording direct observations during a field or monitoring visit.",,,
Accountability,Incident Reporting Template,SRK-INC-01,Incident Reporting Template,"Annexure A3 — report an actual or suspected incident of child abuse or sexual exploitation and abuse (SEA).",Safeguarding|Confidential|Annexure A3,fivdb-incident-report.html,2026
Accountability,General Incident Report,SRK-GINC-01,General Incident Report,"For any incident other than safeguarding or PSEA — security, accident or injury, fire, natural disaster, theft, vehicle accident, or property damage.",Non-safeguarding|Impact & follow-up,fivdb-general-incident-report.html,2026
Accountability,Consent Form Template,SRK-CON-01,Consent Form Template,"Annexure A3 — consent for using a person's photo, video, words, or story in FIVDB communications.",Safeguarding|Age-based guidance|Annexure A3,fivdb-consent-form.html,2026
Communication and Branding Promoting Template,PowerPoint Presentation Template,,PowerPoint Presentation Template,"Branded slide template for trainings, workshops, and donor presentations.",,,
Communication and Branding Promoting Template,Guidance of Documentation and Folder Creation,,Guidance of Documentation and Folder Creation,"How to file, name, and store project documents and activity folders so they stay easy to find.",,,
